id,place_name,category_name,category_group_code,category_group_name,phone,address_name,road_address_name,x,y,place_url,distance,wheelchair,animal,keyword,rate_count,rate
8228024,운현궁 노안당,"여행 > 관광,명소 > 문화유적 > 고궁,궁",AT4,관광명소,,서울 종로구 운니동 114-7,서울 종로구 삼일대로 464,126.987466019621,37.5758984891047,http://place.map.kakao.com/8228024,,unknown,unknown,,0,0
21854570,세종마을 음식문화거리,"여행 > 관광,명소 > 테마거리 > 먹자골목",AT4,관광명소,,서울 종로구 체부동 189-1,,126.972273753522,37.576569842339,http://place.map.kakao.com/21854570,,unknown,unknown,,6,3.7
18619553,경복궁,"여행 > 관광,명소 > 문화유적 > 고궁,궁",AT4,관광명소,02-3700-3900,서울 종로구 세종로 1-91,서울 종로구 사직로 161,126.976896737645,37.5776087830657,http://place.map.kakao.com/18619553,,unknown,unknown,,206,4.6
699964074,궁중문화축전,"여행 > 관광,명소 > 문화유적 > 고궁,궁",AT4,관광명소,02-3210-4684,서울 종로구 세종로 1-1,서울 종로구 사직로 161,126.976883149476,37.5776195923364,http://place.map.kakao.com/699964074,,unknown,unknown,,0,0
828635907,용무루,"여행 > 관광,명소 > 문화유적 > 고궁,궁",AT4,관광명소,,서울 종로구 세종로 1-1,서울 종로구 사직로 161,126.976901251447,37.5776556356491,http://place.map.kakao.com/828635907,,unknown,unknown,,0,0
1006384104,융문루,"여행 > 관광,명소 > 문화유적 > 고궁,궁",AT4,관광명소,,서울 종로구 세종로 1-1,서울 종로구 사직로 161,126.976973734972,37.5775547384554,http://place.map.kakao.com/1006384104,,unknown,unknown,,0,0
90988882,서울명예도로 감고당길,"여행 > 관광,명소 > 도보여행",AT4,관광명소,,서울 종로구 안국동 175-91,,126.98246652909071,37.5775556820761,http://place.map.kakao.com/90988882,,unknown,unknown,#걷기좋은 ,0,0
1869801000,핸더스,"여행 > 관광,명소 > 도자기,도예촌",AT4,관광명소,,서울 종로구 안국동 75-1,서울 종로구 북촌로1길 30-4,126.984264268354,37.5774838558604,http://place.map.kakao.com/1869801000,,unknown,unknown,,0,0
19977958,창덕궁 원역처소,"여행 > 관광,명소 > 문화유적 > 고궁,궁",AT4,관광명소,,서울 종로구 와룡동 2-71,서울 종로구 율곡로 99,126.990730585505,37.5778845821524,http://place.map.kakao.com/19977958,,unknown,unknown,,0,0
26563919,동네골목길관광코스 세종한울길,"여행 > 관광,명소 > 도보여행",AT4,관광명소,,서울 종로구 세종로 1-65,,126.97942778874852,37.57853547328877,http://place.map.kakao.com/26563919,,unknown,unknown,#걷기좋은 ,0,0
1786577800,토전김익영도자예술,"여행 > 관광,명소 > 도자기,도예촌",AT4,관광명소,,서울 종로구 와룡동 3,서울 종로구 창덕궁길 30,126.98930176284074,37.57890799064277,http://place.map.kakao.com/1786577800,,unknown,unknown,,0,0
26563579,도심고궁나들길,"여행 > 관광,명소 > 도보여행",AT4,관광명소,,서울 종로구 와룡동,,126.98940816589278,37.57900170361844,http://place.map.kakao.com/26563579,,unknown,unknown,#걷기좋은 ,0,0
12898473,창덕궁 옥당,"여행 > 관광,명소 > 문화유적 > 고궁,궁",AT4,관광명소,,서울 종로구 와룡동 2-71,서울 종로구 율곡로 99,126.990105545727,37.5789080607506,http://place.map.kakao.com/12898473,,unknown,unknown,,1,5.0
12898476,창덕궁 검서청,"여행 > 관광,명소 > 문화유적 > 고궁,궁",AT4,관광명소,,서울 종로구 와룡동 2-71,서울 종로구 율곡로 99,126.989806650269,37.579084630151,http://place.map.kakao.com/12898476,,unknown,unknown,,0,0
26563952,서울도보관광코스 창덕궁~생태코스,"여행 > 관광,명소 > 도보여행",AT4,관광명소,,서울 종로구 와룡동,,126.99115157040868,37.57912077838424,http://place.map.kakao.com/26563952,,unknown,unknown,#걷기좋은 ,0,0
26558564,동네골목길관광코스 16코스(세종마을),"여행 > 관광,명소 > 도보여행",AT4,관광명소,,서울 종로구 통인동,,126.97006283167369,37.57945248367347,http://place.map.kakao.com/26558564,,unknown,unknown,#걷기좋은 ,0,0
1668733422,서울명예도로 옥류동천길,"여행 > 관광,명소 > 도보여행",AT4,관광명소,,서울 종로구 통인동 158-2,,126.97005838987884,37.57923624399721,http://place.map.kakao.com/1668733422,,unknown,unknown,#걷기좋은 ,0,0
